Name,Sex,Age,Height,Weight,Team,NOC,Games,Season
Giovanni Abagnale,M,21,198,90,Italy,ITA,2016,Summer
Patimat Abakarova,F,21,165,49,Azerbaijan,AZE,2016,Summer
Luc Abalo,M,31,182,86,France,FRA,2016,Summer
Saeid Morad Abdevali,M,26,170,80,Iran,IRI,2016,Summer
Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,RUS,2016,Summer
"Matthew ""Matt"" Abood",M,30,197,92,Australia,AUS,2016,Summer
"Alejandro ""lex"" Abrines Redondo",M,23,198,93,Spain,ESP,2016,Summer
Ahmad Abughaush,M,20,178,68,Jordan,JOR,2016,Summer
Chantal Achterberg,F,31,172,72,Netherlands,NED,2016,Summer
Nicola Virginia Adams,F,33,164,51,Great Britain,GBR,2016,Summer
Rachael Alexis Adams,F,26,188,81,United States,USA,2016,Summer
Valerie Kasanita Adams-Vili (-Price),F,31,193,120,New Zealand,NZL,2016,Summer
Nathan Ghar-Jun Adrian,M,27,198,100,United States,USA,2016,Summer
Cecil Sebastian Afrika,M,28,175,75,South Africa,RSA,2016,Summer
"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27,193,104,South Africa,RSA,2016,Summer
Clarisse Agbegnenou,F,23,164,66,France,FRA,2016,Summer
Sandra Aguilar Navarro,F,23,167,50,Spain,ESP,2016,Summer
Sri Wahyuni Agustiani,F,21,147,47,Indonesia,INA,2016,Summer
Christian Ahlmann,M,41,189,80,Germany,GER,2016,Summer
Tontowi Ahmad,M,29,179,72,Indonesia-1,INA,2016,Summer
Matteo Aicardi,M,30,192,102,Italy,ITA,2016,Summer
Rosaria Aiello,F,27,172,74,Italy,ITA,2016,Summer
"Oluwafemi ""Junior"" Ajayi",M,20,172,79,Nigeria,NGR,2016,Summer
Mobolade Abimbola Ajomale,M,20,180,62,Canada,CAN,2016,Summer
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Marwa Al-Amri,F,27,160,58,Tunisia,TUN,2016,Summer
Stanley Amuzie,M,20,171,85,Nigeria,NGR,2016,Summer
An Ba-Ul,M,22,169,66,South Korea,KOR,2016,Summer
milie Andol,F,28,170,97,France,FRA,2016,Summer
Anne Dsane Andersen,F,23,183,86,Denmark,DEN,2016,Summer
